filepath,filename,speaker_id,label,source,duration_sec,sample_rate,channels,session_id,session_date,session_environment,session_comments,speaker_id_log,speaker_name,speaker_age,speaker_gender,speaker_dialect,mother_dialect,father_dialect,speaker_profession,speaker_comments_log
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0007.wav,0200.111020.092714.0007.wav,0200,bonafide,bonafide,2.175,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0008.wav,0200.111020.092714.0008.wav,0200,bonafide,bonafide,1.875,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0009.wav,0200.111020.092714.0009.wav,0200,bonafide,bonafide,1.475,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0011.wav,0200.111020.092714.0011.wav,0200,bonafide,bonafide,2.875,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0014.wav,0200.111020.092714.0014.wav,0200,bonafide,bonafide,2.875,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0015.wav,0200.111020.092714.0015.wav,0200,bonafide,bonafide,2.775,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0016.wav,0200.111020.092714.0016.wav,0200,bonafide,bonafide,1.575,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0017.wav,0200.111020.092714.0017.wav,0200,bonafide,bonafide,1.975,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0019.wav,0200.111020.092714.0019.wav,0200,bonafide,bonafide,2.275,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0020.wav,0200.111020.092714.0020.wav,0200,bonafide,bonafide,2.475,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0021.wav,0200.111020.092714.0021.wav,0200,bonafide,bonafide,1.875,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0023.wav,0200.111020.092714.0023.wav,0200,bonafide,bonafide,2.775,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0025.wav,0200.111020.092714.0025.wav,0200,bonafide,bonafide,4.975,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0028.wav,0200.111020.092714.0028.wav,0200,bonafide,bonafide,3.275,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0030.wav,0200.111020.092714.0030.wav,0200,bonafide,bonafide,2.675,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0031.wav,0200.111020.092714.0031.wav,0200,bonafide,bonafide,3.175,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0032.wav,0200.111020.092714.0032.wav,0200,bonafide,bonafide,3.875,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0033.wav,0200.111020.092714.0033.wav,0200,bonafide,bonafide,2.375,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0034.wav,0200.111020.092714.0034.wav,0200,bonafide,bonafide,1.975,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0035.wav,0200.111020.092714.0035.wav,0200,bonafide,bonafide,2.075,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0036.wav,0200.111020.092714.0036.wav,0200,bonafide,bonafide,1.875,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0037.wav,0200.111020.092714.0037.wav,0200,bonafide,bonafide,2.775,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0038.wav,0200.111020.092714.0038.wav,0200,bonafide,bonafide,1.875,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
C:\Users\Ninzz\Programming\PLD\up-dsp-pld\PLD\CEB\0200\0200.111020.092714.0041.wav,0200.111020.092714.0041.wav,0200,bonafide,bonafide,2.975,16000,1,111020.092714,20/10/2011 (dd/mm/yyyy),closed empty room,"0dB, 80 Hz",0200,Speaker_0200,43,male,Cebuano - Northern Mindanao,Boholano,Chabacano,Veterinarian,
